Date,KOSPI 200,S&P 500,Nikkei 225,CSI 300
2017-01-02,260.36,,,
2017-01-03,262.97,2257.83,,3342.23
2017-01-04,263.12,2270.75,19594.16,3368.31
2017-01-05,261.98,2269.0,19520.69,3367.79
2017-01-06,263.2,2276.98,19454.33,3347.67
2017-01-09,263.74,2268.9,19454.33,3363.9
2017-01-10,263.73,2268.9,19301.44,3358.27
2017-01-11,268.15,2275.32,19364.67,3334.5
2017-01-12,269.95,2270.44,19134.7,3317.62
2017-01-13,267.91,2274.64,19287.28,3319.91
2017-01-16,266.15,2274.64,19095.24,3319.45
2017-01-17,267.37,2267.89,18813.53,3326.36
2017-01-18,267.08,2271.89,18894.37,3339.37
2017-01-19,267.7,2263.69,19072.25,3329.29
2017-01-20,266.52,2271.31,19137.91,3354.89
2017-01-23,267.12,2265.2,18891.03,3364.08
2017-01-24,267.3,2280.07,18787.99,3364.45
2017-01-25,268.15,2298.37,19057.5,3375.9
2017-01-26,270.48,2296.68,19402.39,3387.96
2017-01-27,270.48,2294.69,19467.4,3387.96
2017-01-30,270.48,2280.9,19368.85,3387.96
2017-01-31,268.09,2278.87,19041.34,3387.96
2017-02-01,269.56,2279.55,19148.08,3387.96
2017-02-02,268.49,2280.85,18914.58,3387.96
2017-02-03,268.85,2297.42,18918.2,3364.49
2017-02-06,269.49,2292.56,18976.71,3373.21
2017-02-07,268.97,2293.08,18910.78,3365.68
2017-02-08,267.72,2294.67,19007.6,3383.29
2017-02-09,267.69,2307.87,18907.67,3396.29
2017-02-10,268.66,2316.1,19378.93,3413.49
2017-02-13,268.81,2328.25,19459.15,3436.28
2017-02-14,267.9,2337.58,19238.98,3435.8
2017-02-15,268.81,2349.25,19437.98,3421.71
2017-02-16,268.93,2347.22,19347.53,3440.93
2017-02-17,268.84,2351.16,19234.62,3421.44
2017-02-20,269.73,2351.16,19251.08,3471.39
2017-02-21,272.11,2365.38,19381.44,3482.82
2017-02-22,272.85,2362.82,19379.87,3489.76
2017-02-23,272.89,2363.81,19371.46,3473.32
2017-02-24,270.38,2367.34,19283.54,3473.85
2017-02-27,268.97,2369.75,19107.47,3446.22
2017-02-28,270.06,2363.64,19118.99,3452.81
2017-03-01,270.06,2395.96,19393.54,3458.44
2017-03-02,272.65,2381.92,19564.8,3435.1
2017-03-03,269.77,2383.12,19469.17,3427.86
2017-03-06,270.41,2375.31,19379.14,3446.48
2017-03-07,271.87,2368.39,19344.15,3453.96
2017-03-08,272.29,2362.98,19254.03,3448.73
2017-03-09,271.62,2364.87,19318.58,3426.94
2017-03-10,272.29,2372.6,19604.61,3427.89
2017-03-13,275.41,2373.47,19633.75,3458.1
2017-03-14,277.89,2365.45,19609.5,3456.69
2017-03-15,277.89,2385.26,19577.38,3463.64
2017-03-16,280.11,2381.38,19590.14,3481.51
2017-03-17,281.86,2378.25,19521.59,3445.81
2017-03-20,280.75,2373.47,19521.59,3449.61
2017-03-21,283.84,2344.02,19455.88,3466.35
2017-03-22,282.63,2348.45,19041.38,3450.05
2017-03-23,282.81,2345.96,19085.31,3461.98
2017-03-24,282.31,2343.98,19262.53,3489.6
2017-03-27,280.36,2341.59,18985.59,3478.04
2017-03-28,281.25,2358.57,19202.87,3469.81
2017-03-29,281.86,2361.13,19217.48,3465.19
2017-03-30,281.66,2368.06,19063.22,3436.76
2017-03-31,280.64,2362.72,18909.26,3456.05
2017-04-03,281.6,2358.84,18983.23,3456.05
2017-04-04,280.92,2360.16,18810.25,3456.05
2017-04-05,280.74,2352.95,18861.27,3503.89
2017-04-06,279.47,2357.49,18597.06,3514.05
2017-04-07,279.01,2355.54,18664.63,3517.46
2017-04-10,277.21,2357.16,18797.88,3505.14
2017-04-11,275.49,2353.78,18747.87,3517.33
2017-04-12,276.21,2344.93,18552.61,3509.44
2017-04-13,279.12,2328.95,18426.84,3514.57
2017-04-14,277.31,2328.95,18335.63,3486.5
2017-04-17,278.1,2349.01,18355.26,3479.94
2017-04-18,278.23,2342.19,18418.59,3462.74
2017-04-19,276.49,2338.17,18432.2,3445.88
2017-04-20,277.76,2355.84,18430.49,3461.55
2017-04-21,280.05,2348.69,18620.75,3466.79
2017-04-24,281.96,2374.15,18875.88,3431.26
2017-04-25,285.41,2388.61,19079.33,3440.97
2017-04-26,286.78,2387.45,19289.43,3445.18
2017-04-27,287.34,2388.77,19251.87,3446.72
2017-04-28,287.21,2384.2,19196.74,3439.75
2017-05-01,287.21,2388.33,19310.52,3439.75
2017-05-02,289.65,2391.17,19445.7,3426.58
2017-05-03,289.65,2388.13,19445.7,3413.13
2017-05-04,292.47,2389.52,19445.7,3404.39
2017-05-05,292.47,2399.29,19445.7,3382.55
2017-05-08,299.86,2399.38,19895.7,3358.81
2017-05-09,299.86,2396.92,19843.0,3352.53
2017-05-10,296.19,2399.63,19900.09,3337.7
2017-05-11,299.75,2394.44,19961.55,3356.65
2017-05-12,298.25,2390.9,19883.9,3385.38
2017-05-15,298.87,2402.32,19869.85,3399.19
2017-05-16,299.67,2400.67,19919.82,3428.65
2017-05-17,299.34,2357.03,19814.88,3409.97
2017-05-18,298.47,2365.72,19553.86,3398.11
2017-05-19,298.08,2381.73,19590.76,3403.85
2017-05-22,300.63,2394.02,19678.28,3411.24
2017-05-23,301.36,2398.42,19613.28,3424.19
2017-05-24,301.71,2404.39,19742.98,3424.17
2017-05-25,305.22,2415.07,19813.13,3485.66
2017-05-26,306.96,2415.82,19686.84,3480.43
2017-05-29,306.52,2415.82,19682.57,3480.43
2017-05-30,304.59,2412.91,19677.85,3480.43
2017-05-31,304.67,2411.8,19650.57,3492.88
2017-06-01,304.03,2430.06,19860.03,3497.74
2017-06-02,307.83,2439.07,20177.28,3486.51
2017-06-05,307.33,2436.1,20170.82,3468.75
2017-06-06,307.33,2429.33,19979.9,3492.88
2017-06-07,305.68,2433.14,19984.62,3533.87
2017-06-08,306.25,2433.79,19909.26,3560.98
2017-06-09,309.38,2431.77,20013.26,3576.17
2017-06-12,306.24,2429.39,19908.58,3574.39
2017-06-13,308.02,2440.35,19898.75,3582.27
2017-06-14,307.95,2437.92,19883.52,3535.3
2017-06-15,306.69,2432.46,19831.82,3528.79
2017-06-16,306.79,2433.15,19943.26,3518.76
2017-06-19,308.61,2453.46,20067.75,3553.67
2017-06-20,309.31,2437.03,20230.41,3546.49
2017-06-21,307.52,2435.61,20138.79,3587.95
2017-06-22,309.47,2434.5,20110.51,3590.34
2017-06-23,310.26,2438.3,20132.67,3622.88
2017-06-26,311.89,2439.07,20153.35,3668.09
2017-06-27,312.12,2419.38,20225.09,3674.72
2017-06-28,310.84,2440.69,20130.41,3646.17
2017-06-29,312.56,2419.7,20220.3,3668.83
2017-06-30,311.76,2423.41,20033.43,3666.8
2017-07-03,312.39,2429.01,20055.8,3650.85
2017-07-04,310.46,2429.01,20032.35,3619.98
2017-07-05,311.77,2432.54,20081.63,3659.68
2017-07-06,311.88,2409.75,19994.06,3660.1
2017-07-07,310.66,2425.18,19929.09,3655.93
2017-07-10,311.46,2427.43,20080.98,3653.69
2017-07-11,313.59,2425.53,20195.48,3670.81
2017-07-12,313.58,2443.25,20098.38,3658.82
2017-07-13,316.35,2447.83,20099.81,3686.92
2017-07-14,317.35,2459.27,20118.86,3703.09
2017-07-17,318.52,2459.14,20118.86,3663.56
2017-07-18,318.65,2460.61,19999.91,3667.18
2017-07-19,318.91,2473.83,20020.86,3729.75
2017-07-20,320.61,2473.45,20144.59,3747.88
2017-07-21,321.79,2472.54,20099.75,3728.6
2017-07-24,322.01,2469.91,19975.67,3743.47
2017-07-25,320.15,2477.13,19955.2,3719.56
2017-07-26,319.46,2477.83,20050.16,3705.39
2017-07-27,320.51,2475.42,20079.64,3712.19
2017-07-28,314.13,2472.1,19959.84,3721.89
2017-07-31,314.6,2470.3,19925.18,3737.87
2017-08-01,317.04,2476.35,19985.79,3770.38
2017-08-02,317.69,2477.57,20080.04,3760.85
2017-08-03,312.29,2472.16,20029.26,3727.83
2017-08-04,313.46,2476.83,19952.33,3707.58
2017-08-07,313.96,2480.91,20055.89,3726.79
2017-08-08,313.4,2474.92,19996.01,3732.21
2017-08-09,309.52,2474.02,19738.71,3731.04
2017-08-10,308.37,2438.21,19729.74,3715.92
2017-08-11,302.72,2441.32,19729.74,3647.35
2017-08-14,304.93,2465.84,19537.1,3694.68
2017-08-15,304.93,2464.61,19753.31,3706.06
2017-08-16,307.16,2468.11,19729.28,3701.42
2017-08-17,309.02,2430.01,19702.63,3721.28
2017-08-18,308.39,2425.55,19470.41,3724.67
2017-08-21,308.14,2428.37,19393.13,3740.99
2017-08-22,309.34,2452.51,19383.84,3752.3
2017-08-23,309.71,2444.04,19434.64,3756.09
2017-08-24,310.73,2438.97,19353.77,3734.65
2017-08-25,311.21,2443.05,19452.61,3795.75
2017-08-28,309.53,2444.24,19449.9,3842.71
2017-08-29,308.64,2446.3,19362.55,3834.54
2017-08-30,309.65,2457.59,19506.54,3834.3
2017-08-31,308.28,2471.65,19646.24,3822.09
2017-09-01,307.78,2476.55,19691.47,3830.54
2017-09-04,304.19,2476.55,19508.25,3845.62
2017-09-05,304.06,2457.85,19385.81,3857.05
2017-09-06,303.18,2465.54,19357.97,3849.45
2017-09-07,306.97,2465.1,19396.52,3829.87
2017-09-08,307.43,2461.43,19274.82,3825.99
2017-09-11,309.83,2488.11,19545.77,3825.65
2017-09-12,310.42,2496.48,19776.62,3837.93
2017-09-13,310.0,2498.37,19865.82,3842.61
2017-09-14,312.52,2495.62,19807.44,3829.96
2017-09-15,313.69,2500.23,19909.5,3831.3
2017-09-18,318.93,2503.87,19909.5,3843.14
2017-09-19,318.51,2506.65,20299.38,3832.12
2017-09-20,318.48,2508.24,20310.46,3842.44
2017-09-21,318.25,2500.6,20347.48,3837.82
2017-09-22,316.71,2502.22,20296.45,3837.73
2017-09-25,316.4,2496.66,20397.58,3817.79
2017-09-26,314.29,2496.84,20330.19,3820.78
2017-09-27,313.82,2507.04,20267.05,3821.2
2017-09-28,313.85,2510.06,20363.11,3822.54
2017-09-29,316.27,2519.36,20356.28,3836.5
2017-10-02,316.27,2529.12,20400.78,3836.5
2017-10-03,316.27,2534.58,20614.07,3836.5
2017-10-04,316.27,2537.74,20626.66,3836.5
2017-10-05,316.27,2552.07,20628.56,3836.5
2017-10-06,316.27,2549.33,20690.71,3836.5
2017-10-09,316.27,2544.73,20690.71,3882.21
2017-10-10,322.49,2550.64,20823.51,3889.86
2017-10-11,326.12,2555.24,20881.27,3902.69
2017-10-12,328.11,2550.93,20954.72,3912.95
2017-10-13,327.35,2553.17,21155.18,3921.0
2017-10-16,327.82,2557.64,21255.56,3913.45
2017-10-17,328.51,2559.36,21336.12,3913.07
2017-10-18,328.4,2561.26,21363.05,3944.16
2017-10-19,326.47,2562.1,21448.52,3931.25
2017-10-20,328.89,2575.21,21457.64,3926.85
2017-10-23,329.45,2564.98,21696.65,3930.8
2017-10-24,328.96,2569.13,21805.17,3959.4
2017-10-25,329.31,2557.15,21707.62,3976.95
2017-10-26,326.99,2560.4,21739.78,3993.58
2017-10-27,329.23,2581.07,22008.45,4021.97
2017-10-30,330.38,2572.83,22011.67,4009.72
2017-10-31,333.57,2575.26,22011.61,4006.72
2017-11-01,338.76,2579.36,22420.08,3996.62
2017-11-02,337.53,2579.85,22539.12,3997.13
2017-11-03,338.83,2587.84,22539.12,3992.7
2017-11-06,337.4,2591.13,22548.35,4020.89
2017-11-07,336.76,2590.64,22937.6,4054.25
2017-11-08,337.8,2594.38,22913.82,4048.01
2017-11-09,337.14,2584.62,22868.71,4075.9
2017-11-10,335.96,2582.3,22681.42,4111.91
2017-11-13,334.33,2584.84,22380.99,4128.07
2017-11-14,333.62,2578.87,22380.01,4099.35
2017-11-15,332.17,2564.62,22028.32,4073.67
2017-11-16,334.36,2585.64,22351.12,4105.01
2017-11-17,334.18,2578.85,22396.8,4120.85
2017-11-20,332.92,2582.14,22261.76,4143.83
2017-11-21,333.51,2599.03,22416.48,4217.7
2017-11-22,335.49,2597.08,22523.15,4227.57
2017-11-23,334.51,2597.08,22523.15,4102.4
2017-11-24,335.44,2602.42,22550.85,4104.2
