Date,K200,K200F,Value
15:31:00,284.92,285.45,285.26
15:30:00,284.93,285.25,285.28
15:29:00,284.93,285.2,285.28
15:28:00,284.93,285.25,285.28
15:27:00,284.93,285.25,285.28
15:26:00,284.93,285.3,285.28
15:25:00,284.93,285.25,285.28
15:24:00,284.93,285.2,285.28
15:23:00,284.93,285.2,285.28
15:22:00,284.93,285.3,285.28
15:21:00,284.93,285.4,285.28
15:20:00,284.94,285.3,285.29
15:19:00,284.8,285.4,285.22
15:18:00,285.08,285.4,285.43
15:17:00,285.1,285.35,285.45
15:16:00,285,285.35,285.35
15:15:00,285,285.35,285.35
15:14:00,284.85,285.35,285.2
15:13:00,284.95,285.3,285.3
15:12:00,285.09,285.35,285.44
15:11:00,284.99,285.45,285.34
15:10:00,285.01,285.45,285.36
15:09:00,284.8,285.3,285.2
15:08:00,284.88,285.3,285.23
15:07:00,284.81,285.3,285.21
15:06:00,284.74,285.3,285.09
15:05:00,285.08,285.35,285.43
15:04:00,284.94,285.35,285.3
15:03:00,284.89,285.3,285.24
15:02:00,284.79,285.25,285.14
15:01:00,284.62,284.95,284.97
15:00:00,284.92,285.35,285.27
14:59:00,285.03,285.5,285.38
14:58:00,284.88,285.5,285.23
14:57:00,284.92,285.3,285.27
14:56:00,285.15,285.5,285.5
14:55:00,285.26,285.85,285.61
14:54:00,285.3,285.95,285.65
14:52:00,285.3,285.95,285.58
14:51:00,285.4,285.9,285.67
14:50:00,285.42,285.95,285.85
14:49:00,285.47,285.9,285.82
14:48:00,285.44,285.85,285.79
14:47:00,285.51,285.95,285.71
14:46:00,285.46,285.95,285.81
14:45:00,285.48,286,285.83
14:44:00,285.44,285.95,285.73
14:43:00,285.42,285.95,285.89
14:42:00,285.41,285.95,285.79
14:41:00,285.43,286,285.81
14:40:00,285.46,286,285.81
14:39:00,285.46,286,285.84
14:38:00,285.29,286.05,285.77
14:37:00,285.3,286,285.65
14:36:00,285.42,285.8,285.74
14:35:00,285.34,285.85,285.66
14:34:00,285.21,285.9,285.74
14:33:00,285.28,285.95,285.64
14:32:00,285.3,285.9,285.75
14:31:00,285.39,285.95,285.72
14:30:00,285.32,286,285.67
