Date,K200,K200F,Value
15:31:00,287.73,288.85,288.7
15:30:00,287.73,288.8,288.58
15:29:00,287.73,288.8,288.58
15:28:00,287.73,288.85,288.58
15:27:00,287.73,288.8,288.58
15:26:00,287.73,288.8,288.58
15:25:00,287.73,288.75,288.58
15:24:00,287.73,288.75,288.58
15:23:00,287.73,288.8,288.58
15:22:00,287.73,288.75,288.58
15:21:00,287.62,288.55,288.58
15:20:00,287.74,288.5,288.53
15:19:00,287.84,288.6,288.52
15:18:00,288.03,288.65,288.66
15:17:00,287.86,288.6,288.66
15:16:00,287.93,288.7,288.76
15:15:00,287.95,288.7,288.74
15:14:00,287.94,288.8,288.91
15:13:00,287.93,288.9,288.74
15:12:00,287.71,289,288.85
15:11:00,287.84,289,288.83
15:10:00,287.91,288.95,288.54
15:09:00,288.01,288.8,288.76
15:08:00,288.04,288.85,288.77
15:07:00,287.93,288.8,288.87
15:06:00,288.04,288.95,288.88
15:05:00,288.02,288.95,288.85
15:04:00,288.13,288.95,288.82
15:03:00,288.17,288.9,288.78
15:02:00,287.95,288.8,289.01
15:01:00,288.06,289.05,289.06
15:00:00,288.04,288.9,288.76
14:59:00,288.05,288.9,288.85
14:58:00,287.9,288.9,288.85
14:57:00,288.23,288.85,288.79
14:56:00,288.12,288.85,288.79
14:55:00,287.91,289.05,288.87
14:54:00,288.01,288.95,288.88
14:52:00,288.28,289,288.82
14:51:00,288.39,289,288.82
14:50:00,288.29,288.95,288.79
14:49:00,288.32,289.2,289.1
14:48:00,288.33,289.2,289.27
14:47:00,288.37,289.25,289.16
14:46:00,288.54,289.3,289.22
14:45:00,288.52,289.3,289.25
14:44:00,288.58,289.2,289.26
14:43:00,288.39,289.25,289.41
14:42:00,288.54,289.25,289.24
14:41:00,288.42,289.4,289.44
14:40:00,288.45,289.3,289.35
14:39:00,288.28,289.35,289.37
14:38:00,288.4,289.35,289.38
14:37:00,288.47,289.3,289.33
14:36:00,288.43,289.2,289.17
14:35:00,288.55,289.25,289.26
14:34:00,288.5,289.05,289.19
14:33:00,288.47,289.2,289.31
14:32:00,288.56,289.35,289.54
14:31:00,288.53,289.4,289.4
14:30:00,288.72,289.4,289.45
14:29:00,288.73,289.45,289.46
14:28:00,288.7,289.5,289.47
14:27:00,288.76,289.5,289.58
14:26:00,288.74,289.6,289.65
14:25:00,288.71,289.7,289.61
14:24:00,288.7,289.7,289.59
14:23:00,288.37,289.65,289.6
14:22:00,288.15,289.55,289.64
14:21:00,288.03,289.55,289.5
14:20:00,288.05,289.45,289.23
14:19:00,288.05,289.2,288.9
14:18:00,287.99,289.05,288.9
14:17:00,287.8,289,288.81
14:16:00,287.79,289,288.89
14:15:00,287.73,288.95,288.71
14:14:00,287.75,288.6,288.64
14:13:00,287.61,288.65,288.67
14:11:00,287.78,288.65,288.48
14:10:00,287.72,288.7,288.55
14:09:00,287.87,288.5,288.41
14:08:00,287.78,288.5,288.57
14:07:00,287.86,288.65,288.61
14:06:00,287.68,288.55,288.68
14:05:00,287.54,288.65,288.67
