Date,Pair A,Pair B
2017-08-01,1000 ,2000 
2017-08-02,1000 ,2020 
2017-08-03,1000 ,2040 
2017-08-04,1000 ,2060 
2017-08-05,1000 ,2080 
2017-08-06,1000 ,2100 
2017-08-07,1000 ,2120 
2017-08-08,1000 ,2140 
2017-08-09,1000 ,2160 
2017-08-10,1000 ,2180 
2017-08-11,1000 ,2200 
2017-08-12,1000 ,2220 
2017-08-13,1000 ,2240 
2017-08-14,1000 ,2260 
2017-08-15,1000 ,2280 
2017-08-16,1000 ,2260 
2017-08-17,1000 ,2240 
2017-08-18,1000 ,2220 
2017-08-19,1000 ,2200 
2017-08-20,1000 ,2180 
2017-08-21,1000 ,2160 
2017-08-22,1000 ,2140 
2017-08-23,1000 ,2120 
2017-08-24,1000 ,2100 
2017-08-25,1000 ,2080 
2017-08-26,1000 ,2060 
2017-08-27,1000 ,2040 
2017-08-28,1000 ,2020 
2017-08-29,1000 ,2000 
2017-08-30,1000 ,1980 
2017-08-31,1000 ,1960 
2017-09-01,1000 ,1940 
2017-09-02,1000 ,1920 
2017-09-03,1000 ,1900 
2017-09-04,1000 ,1880 
2017-09-05,1000 ,1860 
2017-09-06,1000 ,1840 
2017-09-07,1000 ,1820 
2017-09-08,1000 ,1800 
2017-09-09,1000 ,1780 
2017-09-10,1000 ,1760 
2017-09-11,1000 ,1740 
2017-09-12,1000 ,1720 
2017-09-13,1000 ,1700 
2017-09-14,1000 ,1680 
2017-09-15,1000 ,1660 
2017-09-16,1000 ,1680 
2017-09-17,1000 ,1700 
2017-09-18,1000 ,1720 
2017-09-19,1000 ,1740 
2017-09-20,1000 ,1760 
2017-09-21,1000 ,1780 
2017-09-22,1000 ,1800 
2017-09-23,1000 ,1820 
2017-09-24,1000 ,1840 
2017-09-25,1000 ,1860 
2017-09-26,1000 ,1880 
2017-09-27,1000 ,1900 
2017-09-28,1000 ,1920 
2017-09-29,1000 ,1940 
2017-09-30,1000 ,1960 
2017-10-01,1000 ,1980 
2017-10-02,1000 ,2000 
2017-10-03,1000 ,2020 
2017-10-04,1000 ,2040 
2017-10-05,1000 ,2060 
2017-10-06,1000 ,2080 
2017-10-07,1000 ,2100 
2017-10-08,1000 ,2120 
2017-10-09,1000 ,2140 
2017-10-10,1000 ,2160 
2017-10-11,1000 ,2180 
2017-10-12,1000 ,2200 
2017-10-13,1000 ,2220 
2017-10-14,1000 ,2240 
2017-10-15,1000 ,2260 
2017-10-16,1000 ,2240 
2017-10-17,1000 ,2220 
2017-10-18,1000 ,2200 
2017-10-19,1000 ,2180 
2017-10-20,1000 ,2160 
2017-10-21,1000 ,2140 
2017-10-22,1000 ,2120 
2017-10-23,1000 ,2100 
2017-10-24,1000 ,2080 
2017-10-25,1000 ,2060 
2017-10-26,1000 ,2040 
2017-10-27,1000 ,2020 
2017-10-28,1000 ,2000 
2017-10-29,1000 ,1980 
2017-10-30,1000 ,1960 
2017-10-31,1000 ,1940 
2017-11-01,1000 ,1920 
2017-11-02,1000 ,1900 
2017-11-03,1000 ,1880 
2017-11-04,1000 ,1860 
2017-11-05,1000 ,1840 
2017-11-06,1000 ,1820 
2017-11-07,1000 ,1800 
2017-11-08,1000 ,1780 
2017-11-09,1000 ,1760 
2017-11-10,1000 ,1740 
2017-11-11,1000 ,1720 
2017-11-12,1000 ,1700 
2017-11-13,1000 ,1680 
2017-11-14,1000 ,1660 
2017-11-15,1000 ,1640 
2017-11-16,1000 ,1660 
2017-11-17,1000 ,1680 
2017-11-18,1000 ,1700 
2017-11-19,1000 ,1720 
2017-11-20,1000 ,1740 
2017-11-21,1000 ,1760 
2017-11-22,1000 ,1780 
2017-11-23,1000 ,1800 
2017-11-24,1000 ,1820 
2017-11-25,1000 ,1840 
2017-11-26,1000 ,1860 
2017-11-27,1000 ,1880 
2017-11-28,1000 ,1900 
2017-11-29,1000 ,1920 
2017-11-30,1000 ,1940 
2017-12-01,1000 ,1960 
2017-12-02,1000 ,1980 
2017-12-03,1000 ,2000 
2017-12-04,1000 ,2020 
2017-12-05,1000 ,2040 
2017-12-06,1000 ,2060 
2017-12-07,1000 ,2080 
2017-12-08,1000 ,2100 
2017-12-09,1000 ,2120 
2017-12-10,1000 ,2140 
2017-12-11,1000 ,2160 
2017-12-12,1000 ,2180 
2017-12-13,1000 ,2200 
2017-12-14,1000 ,2220 
2017-12-15,1000 ,2240 
2017-12-16,1000 ,2220 
2017-12-17,1000 ,2200 
2017-12-18,1000 ,2180 
2017-12-19,1000 ,2160 
2017-12-20,1000 ,2140 
2017-12-21,1000 ,2120 
2017-12-22,1000 ,2100 
2017-12-23,1000 ,2080 
2017-12-24,1000 ,2060 
2017-12-25,1000 ,2040 
2017-12-26,1000 ,2020 
2017-12-27,1000 ,2000 
2017-12-28,1000 ,1980 
2017-12-29,1000 ,1960 
2017-12-30,1000 ,1940 
2017-12-31,1000 ,1920 
