Date,Pair A,Pair B
2017-08-01,1000.00 ,1000.00 
2017-08-02,1010.00 ,1020.00 
2017-08-03,1020.10 ,1040.40 
2017-08-04,1030.30 ,1061.21 
2017-08-05,1040.60 ,1082.43 
2017-08-06,1051.01 ,1104.08 
2017-08-07,1061.52 ,1126.16 
2017-08-08,1072.14 ,1148.69 
2017-08-09,1082.86 ,1171.66 
2017-08-10,1093.69 ,1195.09 
2017-08-11,1104.62 ,1218.99 
2017-08-12,1115.67 ,1243.37 
2017-08-13,1126.83 ,1268.24 
2017-08-14,1138.09 ,1293.61 
2017-08-15,1149.47 ,1319.48 
2017-08-16,1160.97 ,1345.87 
2017-08-17,1172.58 ,1372.79 
2017-08-18,1184.30 ,1400.24 
2017-08-19,1196.15 ,1428.25 
2017-08-20,1208.11 ,1456.81 
2017-08-21,1220.19 ,1485.95 
2017-08-22,1232.39 ,1515.67 
2017-08-23,1244.72 ,1545.98 
2017-08-24,1257.16 ,1576.90 
2017-08-25,1269.73 ,1608.44 
2017-08-26,1282.43 ,1640.61 
2017-08-27,1295.26 ,1673.42 
2017-08-28,1308.21 ,1706.89 
2017-08-29,1321.29 ,1741.02 
2017-08-30,1334.50 ,1775.84 
2017-08-31,1347.85 ,1811.36 
2017-09-01,1361.33 ,1775.13 
2017-09-02,1374.94 ,1739.63 
2017-09-03,1388.69 ,1704.84 
2017-09-04,1402.58 ,1670.74 
2017-09-05,1416.60 ,1637.33 
2017-09-06,1430.77 ,1604.58 
2017-09-07,1445.08 ,1572.49 
2017-09-08,1459.53 ,1541.04 
2017-09-09,1474.12 ,1510.22 
2017-09-10,1488.86 ,1480.01 
2017-09-11,1503.75 ,1450.41 
2017-09-12,1518.79 ,1421.41 
2017-09-13,1533.98 ,1392.98 
2017-09-14,1549.32 ,1365.12 
2017-09-15,1564.81 ,1337.82 
2017-09-16,1580.46 ,1311.06 
2017-09-17,1596.26 ,1284.84 
2017-09-18,1612.23 ,1259.14 
2017-09-19,1628.35 ,1233.96 
2017-09-20,1644.63 ,1209.28 
2017-09-21,1661.08 ,1185.09 
2017-09-22,1677.69 ,1161.39 
2017-09-23,1694.47 ,1138.16 
2017-09-24,1711.41 ,1115.40 
2017-09-25,1728.52 ,1093.09 
2017-09-26,1745.81 ,1071.23 
2017-09-27,1763.27 ,1049.81 
2017-09-28,1780.90 ,1028.81 
2017-09-29,1798.71 ,1008.23 
2017-09-30,1816.70 ,988.07 
2017-10-01,1834.86 ,1027.59 
2017-10-02,1853.21 ,1068.70 
2017-10-03,1871.74 ,1111.44 
2017-10-04,1890.46 ,1155.90 
2017-10-05,1909.37 ,1202.14 
2017-10-06,1928.46 ,1250.22 
2017-10-07,1947.74 ,1300.23 
2017-10-08,1967.22 ,1352.24 
2017-10-09,1986.89 ,1406.33 
2017-10-10,2006.76 ,1462.58 
2017-10-11,2026.83 ,1521.09 
2017-10-12,2047.10 ,1581.93 
2017-10-13,2067.57 ,1645.21 
2017-10-14,2088.25 ,1711.02 
2017-10-15,2109.13 ,1779.46 
2017-10-16,2130.22 ,1850.64 
2017-10-17,2151.52 ,1924.66 
2017-10-18,2173.04 ,2001.65 
2017-10-19,2194.77 ,2081.71 
2017-10-20,2216.72 ,2164.98 
2017-10-21,2238.88 ,2251.58 
2017-10-22,2261.27 ,2341.64 
2017-10-23,2283.88 ,2435.31 
2017-10-24,2306.72 ,2532.72 
